station_id,name,country,region,source,latitude,longitude,elevation_m,download_url,notes
AUT_ST_Graz_AP_112400_2011_2025,Graz Airport,Austria,Styria,Climate.OneBuilding TMYx,46.9911,15.4396,340,https://climate.onebuilding.org/WMO_Region_6_Europe/AUT_Austria/ST_Styria/AUT_ST_Graz.AP.112400_TMYx.2011-2025.zip,TMYx 2011-2025 ZIP with EPW
AUT_ST_Graz_Univ_112900_2011_2025,Graz University,Austria,Styria,Climate.OneBuilding TMYx,47.078,15.449,367,https://climate.onebuilding.org/WMO_Region_6_Europe/AUT_Austria/ST_Styria/AUT_ST_Graz.Univ.112900_TMYx.2011-2025.zip,TMYx 2011-2025 ZIP with EPW
AUT_ST_Schockl_112410_2011_2025,Schöckl,Austria,Styria,Climate.OneBuilding TMYx,47.198,15.468,1436,https://climate.onebuilding.org/WMO_Region_6_Europe/AUT_Austria/ST_Styria/AUT_ST_Schockl.112410_TMYx.2011-2025.zip,TMYx 2011-2025 ZIP with EPW
AUT_ST_Bad_Radkersburg_112480_2011_2025,Bad Radkersburg,Austria,Styria,Climate.OneBuilding TMYx,46.688,15.988,209,https://climate.onebuilding.org/WMO_Region_6_Europe/AUT_Austria/ST_Styria/AUT_ST_Bad.Radkersburg.112480_TMYx.2011-2025.zip,TMYx 2011-2025 ZIP with EPW
AUT_ST_Hartberg_113900_2011_2025,Hartberg,Austria,Styria,Climate.OneBuilding TMYx,47.282,15.969,330,https://climate.onebuilding.org/WMO_Region_6_Europe/AUT_Austria/ST_Styria/AUT_ST_Hartberg.113900_TMYx.2011-2025.zip,TMYx 2011-2025 ZIP with EPW
AUT_ST_Leibnitz_112960_2009_2023,Leibnitz,Austria,Styria,Climate.OneBuilding TMYx,46.781,15.538,273,https://climate.onebuilding.org/WMO_Region_6_Europe/AUT_Austria/ST_Styria/AUT_ST_Leibnitz.112960_TMYx.2009-2023.zip,TMYx 2009-2023 ZIP with EPW
AUT_KA_Klagenfurt_AP_113310_2011_2025,Klagenfurt Airport,Austria,Carinthia,Climate.OneBuilding TMYx,46.6425,14.3377,448,https://climate.onebuilding.org/WMO_Region_6_Europe/AUT_Austria/KA_Carinthia/AUT_KA_Klagenfurt.AP.113310_TMYx.2011-2025.zip,TMYx 2011-2025 ZIP with EPW
AUT_KA_Villach_112130_2011_2025,Villach,Austria,Carinthia,Climate.OneBuilding TMYx,46.616,13.850,493,https://climate.onebuilding.org/WMO_Region_6_Europe/AUT_Austria/KA_Carinthia/AUT_KA_Villach.112130_TMYx.2011-2025.zip,TMYx 2011-2025 ZIP with EPW
AUT_WI_Wien_Hohe_Warte_110350_2011_2025,Vienna Hohe Warte,Austria,Vienna,Climate.OneBuilding TMYx,48.248,16.356,203,https://climate.onebuilding.org/WMO_Region_6_Europe/AUT_Austria/WI_Vienna/AUT_WI_Wien-Hohe.Warte.110350_TMYx.2011-2025.zip,TMYx 2011-2025 ZIP with EPW
AUT_WI_Wien_Innere_Stadt_110340_2011_2025,Vienna Innere Stadt,Austria,Vienna,Climate.OneBuilding TMYx,48.208,16.373,171,https://climate.onebuilding.org/WMO_Region_6_Europe/AUT_Austria/WI_Vienna/AUT_WI_Wien-Innere.Stadt.110340_TMYx.2011-2025.zip,TMYx 2011-2025 ZIP with EPW
AUT_OO_Linz_AP_110100_2007_2021,Linz Blue Danube Airport,Austria,Upper Austria,Climate.OneBuilding TMYx,48.233,14.188,298,https://climate.onebuilding.org/WMO_Region_6_Europe/AUT_Austria/OO_Upper_Austria/AUT_OO_Linz-Blue.Danube.AP.110100_TMYx.2007-2021.zip,TMYx 2007-2021 ZIP with EPW
AUT_SZ_Salzburg_AP_111500_2011_2025,Salzburg Airport,Austria,Salzburg,Climate.OneBuilding TMYx,47.793,13.004,430,https://climate.onebuilding.org/WMO_Region_6_Europe/AUT_Austria/SZ_Salzburg/AUT_SZ_Salzburg.AP.111500_TMYx.2011-2025.zip,TMYx 2011-2025 ZIP with EPW
AUT_TR_Innsbruck_AP_111200_2011_2025,Innsbruck Airport,Austria,Tyrol,Climate.OneBuilding TMYx,47.260,11.344,579,https://climate.onebuilding.org/WMO_Region_6_Europe/AUT_Austria/TR_Tyrol/AUT_TR_Innsbruck.AP.111200_TMYx.2011-2025.zip,TMYx 2011-2025 ZIP with EPW
AUT_VO_Bregenz_111010_2011_2025,Bregenz,Austria,Vorarlberg,Climate.OneBuilding TMYx,47.503,9.747,424,https://climate.onebuilding.org/WMO_Region_6_Europe/AUT_Austria/VO_Vorarlberg/AUT_VO_Bregenz.111010_TMYx.2011-2025.zip,TMYx 2011-2025 ZIP with EPW
AUT_BU_Eisenstadt_111900_2011_2025,Eisenstadt,Austria,Burgenland,Climate.OneBuilding TMYx,47.846,16.527,184,https://climate.onebuilding.org/WMO_Region_6_Europe/AUT_Austria/BU_Burgenland/AUT_BU_Eisenstadt.111900_TMYx.2011-2025.zip,TMYx 2011-2025 ZIP with EPW
SVN_Ljubljana_140150_2011_2025,Ljubljana,Slovenia,Central Slovenia,Climate.OneBuilding TMYx,46.065,14.512,299,https://climate.onebuilding.org/WMO_Region_6_Europe/SVN_Slovenia/SVN_Ljubljana.140150_TMYx.2011-2025.zip,TMYx 2011-2025 ZIP with EPW
