station_group_id,name,country,region,dataset,latitude,longitude,elevation_m,climate_count,_country_key,_name_key,_lat_key,_lon_key
abw|queen.beatrix.intl.ap|12.5010|-70.0150,Queen.Beatrix.Intl.AP,ABW,AA,"Custom-789820, SRC-TMYx",12.501,-70.015,18.3,5,abw,queen.beatrix.intl.ap,12.501,-70.015
afg|bagram.ap|34.9440|69.2590,Bagram.AP,AFG,PAR,"Custom-697284, SRC-TMYx",34.944,69.259,1492.0,5,afg,bagram.ap,34.944,69.259
afg|bala.murghab|35.6000|63.3000,Bala.Murghab,AFG,BDG,SRC-TMYx,35.6,63.3,472.0,1,afg,bala.murghab,35.6,63.3
afg|bamiyan|34.8170|67.8170,Bamiyan,AFG,BAM,SRC-TMYx,34.817,67.817,2550.0,4,afg,bamiyan,34.817,67.817
afg|bust.ap|31.5500|64.3670,Bust.AP,AFG,HEL,SRC-TMYx,31.55,64.367,780.0,4,afg,bust.ap,31.55,64.367
afg|chakhcharan.ap|34.5330|65.2670,Chakhcharan.AP,AFG,GHO,SRC-TMYx,34.533,65.267,2250.3,4,afg,chakhcharan.ap,34.533,65.267
afg|fob.bostic|35.2170|71.5170,FOB.Bostic,AFG,KNR,SRC-TMYx,35.217,71.517,1042.0,2,afg,fob.bostic,35.217,71.517
afg|fob.leatherneck|31.9000|64.1830,FOB.Leatherneck,AFG,HEL,SRC-TMYx,31.9,64.183,890.0,1,afg,fob.leatherneck,31.9,64.183
afg|fob.victory.stone|34.1170|62.2170,FOB.Victory.Stone,AFG,HER,"Custom-409389, SRC-TMYx",34.117,62.217,1112.5,4,afg,fob.victory.stone,34.117,62.217
afg|farah|32.3670|62.1830,Farah,AFG,FRA,SRC-TMYx,32.367,62.183,700.0,3,afg,farah,32.367,62.183
afg|fetzabad.ap|37.1170|70.5170,Fetzabad.AP,AFG,BDS,SRC-TMYx,37.117,70.517,1200.0,1,afg,fetzabad.ap,37.117,70.517
